==> 2df1:  DEC D               PC:2df2 AF:0002 BC:47b8 DE:1301 HL:499a SP:f789 IX:0000 IY:0000 Flags:00000010 [15 c2 ef]
==> 2df2:  JP NZ, 2defh        PC:2def AF:0002 BC:47b8 DE:1301 HL:499a SP:f789 IX:0000 IY:0000 Flags:00000010 [c2 ef 2d]
==> 2def:  LD (BC), A          PC:2df0 AF:0002 BC:47b8 DE:1301 HL:499a SP:f789 IX:0000 IY:0000 Flags:00000010 [02 03 15]
==> 2df0:  INC BC              PC:2df1 AF:0002 BC:47b9 DE:1301 HL:499a SP:f789 IX:0000 IY:0000 Flags:00000010 [03 15 c2]
==> 2df1:  DEC D               PC:2df2 AF:0002 BC:47b9 DE:1201 HL:499a SP:f789 IX:0000 IY:0000 Flags:00000010 [15 c2 ef]
==> 2df2:  JP NZ, 2defh        PC:2def AF:0002 BC:47b9 DE:1201 HL:499a SP:f789 IX:0000 IY:0000 Flags:00000010 [c2 ef 2d]
==> 2def:  LD (BC), A          PC:2df0 AF:0002 BC:47b9 DE:1201 HL:499a SP:f789 IX:0000 IY:0000 Flags:00000010 [02 03 15]
==> 2df0:  INC BC              PC:2df1 AF:0002 BC:47ba DE:1201 HL:499a SP:f789 IX:0000 IY:0000 Flags:00000010 [03 15 c2]
==> 2df1:  DEC D               PC:2df2 AF:0002 BC:47ba DE:1101 HL:499a SP:f789 IX:0000 IY:0000 Flags:00000010 [15 c2 ef]
==> 2df2:  JP NZ, 2defh        PC:2def AF:0002 BC:47ba DE:1101 HL:499a SP:f789 IX:0000 IY:0000 Flags:00000010 [c2 ef 2d]
==> 2def:  LD (BC), A          PC:2df0 AF:0002 BC:47ba DE:1101 HL:499a SP:f789 IX:0000 IY:0000 Flags:00000010 [02 03 15]
==> 2df0:  INC BC              PC:2df1 AF:0002 BC:47bb DE:1101 HL:499a SP:f789 IX:0000 IY:0000 Flags:00000010 [03 15 c2]
==> 2df1:  DEC D               PC:2df2 AF:0002 BC:47bb DE:1001 HL:499a SP:f789 IX:0000 IY:0000 Flags:00000010 [15 c2 ef]
==> 2df2:  JP NZ, 2defh        PC:2def AF:0002 BC:47bb DE:1001 HL:499a SP:f789 IX:0000 IY:0000 Flags:00000010 [c2 ef 2d]
==> 2def:  LD (BC), A          PC:2df0 AF:0002 BC:47bb DE:1001 HL:499a SP:f789 IX:0000 IY:0000 Flags:00000010 [02 03 15]
==> 2df0:  INC BC              PC:2df1 AF:0002 BC:47bc DE:1001 HL:499a SP:f789 IX:0000 IY:0000 Flags:00000010 [03 15 c2]
==> 2df1:  DEC D               PC:2df2 AF:001a BC:47bc DE:0f01 HL:499a SP:f789 IX:0000 IY:0000 Flags:00011010 [15 c2 ef]
==> 2df2:  JP NZ, 2defh        PC:2def AF:001a BC:47bc DE:0f01 HL:499a SP:f789 IX:0000 IY:0000 Flags:00011010 [c2 ef 2d]
==> 2def:  LD (BC), A          PC:2df0 AF:001a BC:47bc DE:0f01 HL:499a SP:f789 IX:0000 IY:0000 Flags:00011010 [02 03 15]
==> 2df0:  INC BC              PC:2df1 AF:001a BC:47bd DE:0f01 HL:499a SP:f789 IX:0000 IY:0000 Flags:00011010 [03 15 c2]
==> 2df1:  DEC D               PC:2df2 AF:000a BC:47bd DE:0e01 HL:499a SP:f789 IX:0000 IY:0000 Flags:00001010 [15 c2 ef]
==> 2df2:  JP NZ, 2defh        PC:2def AF:000a BC:47bd DE:0e01 HL:499a SP:f789 IX:0000 IY:0000 Flags:00001010 [c2 ef 2d]
==> 2def:  LD (BC), A          PC:2df0 AF:000a BC:47bd DE:0e01 HL:499a SP:f789 IX:0000 IY:0000 Flags:00001010 [02 03 15]
==> 2df0:  INC BC              PC:2df1 AF:000a BC:47be DE:0e01 HL:499a SP:f789 IX:0000 IY:0000 Flags:00001010 [03 15 c2]
==> 2df1:  DEC D               PC:2df2 AF:000a BC:47be DE:0d01 HL:499a SP:f789 IX:0000 IY:0000 Flags:00001010 [15 c2 ef]
==> 2df2:  JP NZ, 2defh        PC:2def AF:000a BC:47be DE:0d01 HL:499a SP:f789 IX:0000 IY:0000 Flags:00001010 [c2 ef 2d]
==> 2def:  LD (BC), A          PC:2df0 AF:000a BC:47be DE:0d01 HL:499a SP:f789 IX:0000 IY:0000 Flags:00001010 [02 03 15]
==> 2df0:  INC BC              PC:2df1 AF:000a BC:47bf DE:0d01 HL:499a SP:f789 IX:0000 IY:0000 Flags:00001010 [03 15 c2]
==> 2df1:  DEC D               PC:2df2 AF:000a BC:47bf DE:0c01 HL:499a SP:f789 IX:0000 IY:0000 Flags:00001010 [15 c2 ef]
==> 2df2:  JP NZ, 2defh        PC:2def AF:000a BC:47bf DE:0c01 HL:499a SP:f789 IX:0000 IY:0000 Flags:00001010 [c2 ef 2d]
==> 2def:  LD (BC), A          PC:2df0 AF:000a BC:47bf DE:0c01 HL:499a SP:f789 IX:0000 IY:0000 Flags:00001010 [02 03 15]
==> 2df0:  INC BC              PC:2df1 AF:000a BC:47c0 DE:0c01 HL:499a SP:f789 IX:0000 IY:0000 Flags:00001010 [03 15 c2]
==> 2df1:  DEC D               PC:2df2 AF:000a BC:47c0 DE:0b01 HL:499a SP:f789 IX:0000 IY:0000 Flags:00001010 [15 c2 ef]
==> 2df2:  JP NZ, 2defh        PC:2def AF:000a BC:47c0 DE:0b01 HL:499a SP:f789 IX:0000 IY:0000 Flags:00001010 [c2 ef 2d]
==> 2def:  LD (BC), A          PC:2df0 AF:000a BC:47c0 DE:0b01 HL:499a SP:f789 IX:0000 IY:0000 Flags:00001010 [02 03 15]
==> 2df0:  INC BC              PC:2df1 AF:000a BC:47c1 DE:0b01 HL:499a SP:f789 IX:0000 IY:0000 Flags:00001010 [03 15 c2]
==> 2df1:  DEC D               PC:2df2 AF:000a BC:47c1 DE:0a01 HL:499a SP:f789 IX:0000 IY:0000 Flags:00001010 [15 c2 ef]
==> 2df2:  JP NZ, 2defh        PC:2def AF:000a BC:47c1 DE:0a01 HL:499a SP:f789 IX:0000 IY:0000 Flags:00001010 [c2 ef 2d]
==> 2def:  LD (BC), A          PC:2df0 AF:000a BC:47c1 DE:0a01 HL:499a SP:f789 IX:0000 IY:0000 Flags:00001010 [02 03 15]
==> 2df0:  INC BC              PC:2df1 AF:000a BC:47c2 DE:0a01 HL:499a SP:f789 IX:0000 IY:0000 Flags:00001010 [03 15 c2]
==> 2df1:  DEC D               PC:2df2 AF:000a BC:47c2 DE:0901 HL:499a SP:f789 IX:0000 IY:0000 Flags:00001010 [15 c2 ef]
==> 2df2:  JP NZ, 2defh        PC:2def AF:000a BC:47c2 DE:0901 HL:499a SP:f789 IX:0000 IY:0000 Flags:00001010 [c2 ef 2d]
==> 2def:  LD (BC), A          PC:2df0 AF:000a BC:47c2 DE:0901 HL:499a SP:f789 IX:0000 IY:0000 Flags:00001010 [02 03 15]
==> 2df0:  INC BC              PC:2df1 AF:000a BC:47c3 DE:0901 HL:499a SP:f789 IX:0000 IY:0000 Flags:00001010 [03 15 c2]
==> 2df1:  DEC D               PC:2df2 AF:000a BC:47c3 DE:0801 HL:499a SP:f789 IX:0000 IY:0000 Flags:00001010 [15 c2 ef]
==> 2df2:  JP NZ, 2defh        PC:2def AF:000a BC:47c3 DE:0801 HL:499a SP:f789 IX:0000 IY:0000 Flags:00001010 [c2 ef 2d]
==> 2def:  LD (BC), A          PC:2df0 AF:000a BC:47c3 DE:0801 HL:499a SP:f789 IX:0000 IY:0000 Flags:00001010 [02 03 15]
==> 2df0:  INC BC              PC:2df1 AF:000a BC:47c4 DE:0801 HL:499a SP:f789 IX:0000 IY:0000 Flags:00001010 [03 15 c2]
==> 2df1:  DEC D               PC:2df2 AF:0002 BC:47c4 DE:0701 HL:499a SP:f789 IX:0000 IY:0000 Flags:00000010 [15 c2 ef]
==> 2df2:  JP NZ, 2defh        PC:2def AF:0002 BC:47c4 DE:0701 HL:499a SP:f789 IX:0000 IY:0000 Flags:00000010 [c2 ef 2d]
==> 2def:  LD (BC), A          PC:2df0 AF:0002 BC:47c4 DE:0701 HL:499a SP:f789 IX:0000 IY:0000 Flags:00000010 [02 03 15]
==> 2df0:  INC BC              PC:2df1 AF:0002 BC:47c5 DE:0701 HL:499a SP:f789 IX:0000 IY:0000 Flags:00000010 [03 15 c2]
==> 2df1:  DEC D               PC:2df2 AF:0002 BC:47c5 DE:0601 HL:499a SP:f789 IX:0000 IY:0000 Flags:00000010 [15 c2 ef]
==> 2df2:  JP NZ, 2defh        PC:2def AF:0002 BC:47c5 DE:0601 HL:499a SP:f789 IX:0000 IY:0000 Flags:00000010 [c2 ef 2d]
==> 2def:  LD (BC), A          PC:2df0 AF:0002 BC:47c5 DE:0601 HL:499a SP:f789 IX:0000 IY:0000 Flags:00000010 [02 03 15]
==> 2df0:  INC BC              PC:2df1 AF:0002 BC:47c6 DE:0601 HL:499a SP:f789 IX:0000 IY:0000 Flags:00000010 [03 15 c2]
==> 2df1:  DEC D               PC:2df2 AF:0002 BC:47c6 DE:0501 HL:499a SP:f789 IX:0000 IY:0000 Flags:00000010 [15 c2 ef]
==> 2df2:  JP NZ, 2defh        PC:2def AF:0002 BC:47c6 DE:0501 HL:499a SP:f789 IX:0000 IY:0000 Flags:00000010 [c2 ef 2d]
==> 2def:  LD (BC), A          PC:2df0 AF:0002 BC:47c6 DE:0501 HL:499a SP:f789 IX:0000 IY:0000 Flags:00000010 [02 03 15]
==> 2df0:  INC BC              PC:2df1 AF:0002 BC:47c7 DE:0501 HL:499a SP:f789 IX:0000 IY:0000 Flags:00000010 [03 15 c2]
==> 2df1:  DEC D               PC:2df2 AF:0002 BC:47c7 DE:0401 HL:499a SP:f789 IX:0000 IY:0000 Flags:00000010 [15 c2 ef]
==> 2df2:  JP NZ, 2defh        PC:2def AF:0002 BC:47c7 DE:0401 HL:499a SP:f789 IX:0000 IY:0000 Flags:00000010 [c2 ef 2d]
==> 2def:  LD (BC), A          PC:2df0 AF:0002 BC:47c7 DE:0401 HL:499a SP:f789 IX:0000 IY:0000 Flags:00000010 [02 03 15]
==> 2df0:  INC BC              PC:2df1 AF:0002 BC:47c8 DE:0401 HL:499a SP:f789 IX:0000 IY:0000 Flags:00000010 [03 15 c2]
==> 2df1:  DEC D               PC:2df2 AF:0002 BC:47c8 DE:0301 HL:499a SP:f789 IX:0000 IY:0000 Flags:00000010 [15 c2 ef]
==> 2df2:  JP NZ, 2defh        PC:2def AF:0002 BC:47c8 DE:0301 HL:499a SP:f789 IX:0000 IY:0000 Flags:00000010 [c2 ef 2d]
==> 2def:  LD (BC), A          PC:2df0 AF:0002 BC:47c8 DE:0301 HL:499a SP:f789 IX:0000 IY:0000 Flags:00000010 [02 03 15]
==> 2df0:  INC BC              PC:2df1 AF:0002 BC:47c9 DE:0301 HL:499a SP:f789 IX:0000 IY:0000 Flags:00000010 [03 15 c2]
==> 2df1:  DEC D               PC:2df2 AF:0002 BC:47c9 DE:0201 HL:499a SP:f789 IX:0000 IY:0000 Flags:00000010 [15 c2 ef]
==> 2df2:  JP NZ, 2defh        PC:2def AF:0002 BC:47c9 DE:0201 HL:499a SP:f789 IX:0000 IY:0000 Flags:00000010 [c2 ef 2d]
==> 2def:  LD (BC), A          PC:2df0 AF:0002 BC:47c9 DE:0201 HL:499a SP:f789 IX:0000 IY:0000 Flags:00000010 [02 03 15]
==> 2df0:  INC BC              PC:2df1 AF:0002 BC:47ca DE:0201 HL:499a SP:f789 IX:0000 IY:0000 Flags:00000010 [03 15 c2]
==> 2df1:  DEC D               PC:2df2 AF:0002 BC:47ca DE:0101 HL:499a SP:f789 IX:0000 IY:0000 Flags:00000010 [15 c2 ef]
==> 2df2:  JP NZ, 2defh        PC:2def AF:0002 BC:47ca DE:0101 HL:499a SP:f789 IX:0000 IY:0000 Flags:00000010 [c2 ef 2d]
==> 2def:  LD (BC), A          PC:2df0 AF:0002 BC:47ca DE:0101 HL:499a SP:f789 IX:0000 IY:0000 Flags:00000010 [02 03 15]
==> 2df0:  INC BC              PC:2df1 AF:0002 BC:47cb DE:0101 HL:499a SP:f789 IX:0000 IY:0000 Flags:00000010 [03 15 c2]
==> 2df1:  DEC D               PC:2df2 AF:0042 BC:47cb DE:0001 HL:499a SP:f789 IX:0000 IY:0000 Flags:01000010 [15 c2 ef]
==> 2df2:  JP NZ, 2defh        PC:2df5 AF:0042 BC:47cb DE:0001 HL:499a SP:f789 IX:0000 IY:0000 Flags:01000010 [c2 ef 2d]
==> 2df5:  RET                 PC:34ec AF:0042 BC:47cb DE:0001 HL:499a SP:f78b IX:0000 IY:0000 Flags:01000010 [c9 cd 80]
==> 34ec:  POP AF              PC:34ed AF:0102 BC:47cb DE:0001 HL:499a SP:f78d IX:0000 IY:0000 Flags:00000010 [f1 c1 3d]
==> 34ed:  POP BC              PC:34ee AF:0102 BC:2dbc DE:0001 HL:499a SP:f78f IX:0000 IY:0000 Flags:00000010 [c1 3d f2]
==> 34ee:  DEC A               PC:34ef AF:0042 BC:2dbc DE:0001 HL:499a SP:f78f IX:0000 IY:0000 Flags:01000010 [3d f2 e4]
==> 34ef:  JP P, 34e4h         PC:34e4 AF:0042 BC:2dbc DE:0001 HL:499a SP:f78f IX:0000 IY:0000 Flags:01000010 [f2 e4 34]
==> 34e4:  PUSH BC             PC:34e5 AF:0042 BC:2dbc DE:0001 HL:499a SP:f78d IX:0000 IY:0000 Flags:01000010 [c5 f5 11]
==> 34e5:  PUSH AF             PC:34e6 AF:0042 BC:2dbc DE:0001 HL:499a SP:f78b IX:0000 IY:0000 Flags:01000010 [f5 11 ec]
==> 34e6:  LD DE, 34ech        PC:34e9 AF:0042 BC:2dbc DE:34ec HL:499a SP:f78b IX:0000 IY:0000 Flags:01000010 [11 ec 34]
==> 34e9:  PUSH DE             PC:34ea AF:0042 BC:2dbc DE:34ec HL:499a SP:f789 IX:0000 IY:0000 Flags:01000010 [d5 c5 c9]
==> 34ea:  PUSH BC             PC:34eb AF:0042 BC:2dbc DE:34ec HL:499a SP:f787 IX:0000 IY:0000 Flags:01000010 [c5 c9 f1]
==> 34eb:  RET                 PC:2dbc AF:0042 BC:2dbc DE:34ec HL:499a SP:f789 IX:0000 IY:0000 Flags:01000010 [c9 f1 c1]
==> 2dbc:  CALL 3283h          PC:3283 AF:0042 BC:2dbc DE:34ec HL:499a SP:f787 IX:0000 IY:0000 Flags:01000010 [cd 83 32]
==> 3283:  LD E, A             PC:3284 AF:0042 BC:2dbc DE:3400 HL:499a SP:f787 IX:0000 IY:0000 Flags:01000010 [5f 3a 59]
==> 3284:  LD A, (0759h)       PC:3287 AF:0342 BC:2dbc DE:3400 HL:499a SP:f787 IX:0000 IY:0000 Flags:01000010 [3a 59 07]
==> 3287:  CP A, E             PC:3288 AF:0302 BC:2dbc DE:3400 HL:499a SP:f787 IX:0000 IY:0000 Flags:00000010 [bb da a7]
==> 3288:  JP C, 31a7h         PC:328b AF:0302 BC:2dbc DE:3400 HL:499a SP:f787 IX:0000 IY:0000 Flags:00000010 [da a7 31]
==> 328b:  LD D, 00h           PC:328d AF:0302 BC:2dbc DE:0000 HL:499a SP:f787 IX:0000 IY:0000 Flags:00000010 [16 00 e5]
==> 328d:  PUSH HL             PC:328e AF:0302 BC:2dbc DE:0000 HL:499a SP:f785 IX:0000 IY:0000 Flags:00000010 [e5 21 39]
==> 328e:  LD HL, 0739h        PC:3291 AF:0302 BC:2dbc DE:0000 HL:0739 SP:f785 IX:0000 IY:0000 Flags:00000010 [21 39 07]
==> 3291:  ADD HL, DE          PC:3292 AF:0300 BC:2dbc DE:0000 HL:0739 SP:f785 IX:0000 IY:0000 Flags:00000000 [19 19 4e]
==> 3292:  ADD HL, DE          PC:3293 AF:0300 BC:2dbc DE:0000 HL:0739 SP:f785 IX:0000 IY:0000 Flags:00000000 [19 4e 23]
==> 3293:  LD C, (HL)          PC:3294 AF:0300 BC:2dff DE:0000 HL:0739 SP:f785 IX:0000 IY:0000 Flags:00000000 [4e 23 46]
==> 3294:  INC HL              PC:3295 AF:0300 BC:2dff DE:0000 HL:073a SP:f785 IX:0000 IY:0000 Flags:00000000 [23 46 0a]
==> 3295:  LD B, (HL)          PC:3296 AF:0300 BC:46ff DE:0000 HL:073a SP:f785 IX:0000 IY:0000 Flags:00000000 [46 0a b7]
==> 3296:  LD A, (BC)          PC:3297 AF:0000 BC:46ff DE:0000 HL:073a SP:f785 IX:0000 IY:0000 Flags:00000000 [0a b7 e1]
==> 3297:  OR A, A             PC:3298 AF:0044 BC:46ff DE:0000 HL:073a SP:f785 IX:0000 IY:0000 Flags:01000100 [b7 e1 c9]
==> 3298:  POP HL              PC:3299 AF:0044 BC:46ff DE:0000 HL:499a SP:f787 IX:0000 IY:0000 Flags:01000100 [e1 c9 cd]
==> 3299:  RET                 PC:2dbf AF:0044 BC:46ff DE:0000 HL:499a SP:f789 IX:0000 IY:0000 Flags:01000100 [c9 cd 84]
==> 2dbf:  JP Z, 2dech         PC:2dec AF:0044 BC:46ff DE:0000 HL:499a SP:f789 IX:0000 IY:0000 Flags:01000100 [ca ec 2d]
==> 2dec:  LD D, 26h           PC:2dee AF:0044 BC:46ff DE:2600 HL:499a SP:f789 IX:0000 IY:0000 Flags:01000100 [16 26 af]
==> 2dee:  XOR A, A            PC:2def AF:0044 BC:46ff DE:2600 HL:499a SP:f789 IX:0000 IY:0000 Flags:01000100 [af 02 03]
==> 2def:  LD (BC), A          PC:2df0 AF:0044 BC:46ff DE:2600 HL:499a SP:f789 IX:0000 IY:0000 Flags:01000100 [02 03 15]
==> 2df0:  INC BC              PC:2df1 AF:0044 BC:4700 DE:2600 HL:499a SP:f789 IX:0000 IY:0000 Flags:01000100 [03 15 c2]
==> 2df1:  DEC D               PC:2df2 AF:0022 BC:4700 DE:2500 HL:499a SP:f789 IX:0000 IY:0000 Flags:00100010 [15 c2 ef]
==> 2df2:  JP NZ, 2defh        PC:2def AF:0022 BC:4700 DE:2500 HL:499a SP:f789 IX:0000 IY:0000 Flags:00100010 [c2 ef 2d]
==> 2def:  LD (BC), A          PC:2df0 AF:0022 BC:4700 DE:2500 HL:499a SP:f789 IX:0000 IY:0000 Flags:00100010 [02 03 15]
==> 2df0:  INC BC              PC:2df1 AF:0022 BC:4701 DE:2500 HL:499a SP:f789 IX:0000 IY:0000 Flags:00100010 [03 15 c2]
==> 2df1:  DEC D               PC:2df2 AF:0022 BC:4701 DE:2400 HL:499a SP:f789 IX:0000 IY:0000 Flags:00100010 [15 c2 ef]
==> 2df2:  JP NZ, 2defh        PC:2def AF:0022 BC:4701 DE:2400 HL:499a SP:f789 IX:0000 IY:0000 Flags:00100010 [c2 ef 2d]
==> 2def:  LD (BC), A          PC:2df0 AF:0022 BC:4701 DE:2400 HL:499a SP:f789 IX:0000 IY:0000 Flags:00100010 [02 03 15]
==> 2df0:  INC BC              PC:2df1 AF:0022 BC:4702 DE:2400 HL:499a SP:f789 IX:0000 IY:0000 Flags:00100010 [03 15 c2]
==> 2df1:  DEC D               PC:2df2 AF:0022 BC:4702 DE:2300 HL:499a SP:f789 IX:0000 IY:0000 Flags:00100010 [15 c2 ef]
==> 2df2:  JP NZ, 2defh        PC:2def AF:0022 BC:4702 DE:2300 HL:499a SP:f789 IX:0000 IY:0000 Flags:00100010 [c2 ef 2d]
==> 2def:  LD (BC), A          PC:2df0 AF:0022 BC:4702 DE:2300 HL:499a SP:f789 IX:0000 IY:0000 Flags:00100010 [02 03 15]
==> 2df0:  INC BC              PC:2df1 AF:0022 BC:4703 DE:2300 HL:499a SP:f789 IX:0000 IY:0000 Flags:00100010 [03 15 c2]
==> 2df1:  DEC D               PC:2df2 AF:0022 BC:4703 DE:2200 HL:499a SP:f789 IX:0000 IY:0000 Flags:00100010 [15 c2 ef]
==> 2df2:  JP NZ, 2defh        PC:2def AF:0022 BC:4703 DE:2200 HL:499a SP:f789 IX:0000 IY:0000 Flags:00100010 [c2 ef 2d]
==> 2def:  LD (BC), A          PC:2df0 AF:0022 BC:4703 DE:2200 HL:499a SP:f789 IX:0000 IY:0000 Flags:00100010 [02 03 15]
==> 2df0:  INC BC              PC:2df1 AF:0022 BC:4704 DE:2200 HL:499a SP:f789 IX:0000 IY:0000 Flags:00100010 [03 15 c2]
==> 2df1:  DEC D               PC:2df2 AF:0022 BC:4704 DE:2100 HL:499a SP:f789 IX:0000 IY:0000 Flags:00100010 [15 c2 ef]
==> 2df2:  JP NZ, 2defh        PC:2def AF:0022 BC:4704 DE:2100 HL:499a SP:f789 IX:0000 IY:0000 Flags:00100010 [c2 ef 2d]
==> 2def:  LD (BC), A          PC:2df0 AF:0022 BC:4704 DE:2100 HL:499a SP:f789 IX:0000 IY:0000 Flags:00100010 [02 03 15]
==> 2df0:  INC BC              PC:2df1 AF:0022 BC:4705 DE:2100 HL:499a SP:f789 IX:0000 IY:0000 Flags:00100010 [03 15 c2]
==> 2df1:  DEC D               PC:2df2 AF:0022 BC:4705 DE:2000 HL:499a SP:f789 IX:0000 IY:0000 Flags:00100010 [15 c2 ef]
==> 2df2:  JP NZ, 2defh        PC:2def AF:0022 BC:4705 DE:2000 HL:499a SP:f789 IX:0000 IY:0000 Flags:00100010 [c2 ef 2d]
==> 2def:  LD (BC), A          PC:2df0 AF:0022 BC:4705 DE:2000 HL:499a SP:f789 IX:0000 IY:0000 Flags:00100010 [02 03 15]
==> 2df0:  INC BC              PC:2df1 AF:0022 BC:4706 DE:2000 HL:499a SP:f789 IX:0000 IY:0000 Flags:00100010 [03 15 c2]
==> 2df1:  DEC D               PC:2df2 AF:001a BC:4706 DE:1f00 HL:499a SP:f789 IX:0000 IY:0000 Flags:00011010 [15 c2 ef]
==> 2df2:  JP NZ, 2defh        PC:2def AF:001a BC:4706 DE:1f00 HL:499a SP:f789 IX:0000 IY:0000 Flags:00011010 [c2 ef 2d]
==> 2def:  LD (BC), A          PC:2df0 AF:001a BC:4706 DE:1f00 HL:499a SP:f789 IX:0000 IY:0000 Flags:00011010 [02 03 15]
==> 2df0:  INC BC              PC:2df1 AF:001a BC:4707 DE:1f00 HL:499a SP:f789 IX:0000 IY:0000 Flags:00011010 [03 15 c2]
==> 2df1:  DEC D               PC:2df2 AF:000a BC:4707 DE:1e00 HL:499a SP:f789 IX:0000 IY:0000 Flags:00001010 [15 c2 ef]
==> 2df2:  JP NZ, 2defh        PC:2def AF:000a BC:4707 DE:1e00 HL:499a SP:f789 IX:0000 IY:0000 Flags:00001010 [c2 ef 2d]
==> 2def:  LD (BC), A          PC:2df0 AF:000a BC:4707 DE:1e00 HL:499a SP:f789 IX:0000 IY:0000 Flags:00001010 [02 03 15]
==> 2df0:  INC BC              PC:2df1 AF:000a BC:4708 DE:1e00 HL:499a SP:f789 IX:0000 IY:0000 Flags:00001010 [03 15 c2]
==> 2df1:  DEC D               PC:2df2 AF:000a BC:4708 DE:1d00 HL:499a SP:f789 IX:0000 IY:0000 Flags:00001010 [15 c2 ef]
==> 2df2:  JP NZ, 2defh        PC:2def AF:000a BC:4708 DE:1d00 HL:499a SP:f789 IX:0000 IY:0000 Flags:00001010 [c2 ef 2d]
==> 2def:  LD (BC), A          PC:2df0 AF:000a BC:4708 DE:1d00 HL:499a SP:f789 IX:0000 IY:0000 Flags:00001010 [02 03 15]
==> 2df0:  INC BC              PC:2df1 AF:000a BC:4709 DE:1d00 HL:499a SP:f789 IX:0000 IY:0000 Flags:00001010 [03 15 c2]
==> 2df1:  DEC D               PC:2df2 AF:000a BC:4709 DE:1c00 HL:499a SP:f789 IX:0000 IY:0000 Flags:00001010 [15 c2 ef]
==> 2df2:  JP NZ, 2defh        PC:2def AF:000a BC:4709 DE:1c00 HL:499a SP:f789 IX:0000 IY:0000 Flags:00001010 [c2 ef 2d]
==> 2def:  LD (BC), A          PC:2df0 AF:000a BC:4709 DE:1c00 HL:499a SP:f789 IX:0000 IY:0000 Flags:00001010 [02 03 15]
==> 2df0:  INC BC              PC:2df1 AF:000a BC:470a DE:1c00 HL:499a SP:f789 IX:0000 IY:0000 Flags:00001010 [03 15 c2]
==> 2df1:  DEC D               PC:2df2 AF:000a BC:470a DE:1b00 HL:499a SP:f789 IX:0000 IY:0000 Flags:00001010 [15 c2 ef]
==> 2df2:  JP NZ, 2defh        PC:2def AF:000a BC:470a DE:1b00 HL:499a SP:f789 IX:0000 IY:0000 Flags:00001010 [c2 ef 2d]
==> 2def:  LD (BC), A          PC:2df0 AF:000a BC:470a DE:1b00 HL:499a SP:f789 IX:0000 IY:0000 Flags:00001010 [02 03 15]
==> 2df0:  INC BC              PC:2df1 AF:000a BC:470b DE:1b00 HL:499a SP:f789 IX:0000 IY:0000 Flags:00001010 [03 15 c2]
==> 2df1:  DEC D               PC:2df2 AF:000a BC:470b DE:1a00 HL:499a SP:f789 IX:0000 IY:0000 Flags:00001010 [15 c2 ef]
==> 2df2:  JP NZ, 2defh        PC:2def AF:000a BC:470b DE:1a00 HL:499a SP:f789 IX:0000 IY:0000 Flags:00001010 [c2 ef 2d]
==> 2def:  LD (BC), A          PC:2df0 AF:000a BC:470b DE:1a00 HL:499a SP:f789 IX:0000 IY:0000 Flags:00001010 [02 03 15]
==> 2df0:  INC BC              PC:2df1 AF:000a BC:470c DE:1a00 HL:499a SP:f789 IX:0000 IY:0000 Flags:00001010 [03 15 c2]
==> 2df1:  DEC D               PC:2df2 AF:000a BC:470c DE:1900 HL:499a SP:f789 IX:0000 IY:0000 Flags:00001010 [15 c2 ef]
==> 2df2:  JP NZ, 2defh        PC:2def AF:000a BC:470c DE:1900 HL:499a SP:f789 IX:0000 IY:0000 Flags:00001010 [c2 ef 2d]
==> 2def:  LD (BC), A          PC:2df0 AF:000a BC:470c DE:1900 HL:499a SP:f789 IX:0000 IY:0000 Flags:00001010 [02 03 15]
==> 2df0:  INC BC              PC:2df1 AF:000a BC:470d DE:1900 HL:499a SP:f789 IX:0000 IY:0000 Flags:00001010 [03 15 c2]
==> 2df1:  DEC D               PC:2df2 AF:000a BC:470d DE:1800 HL:499a SP:f789 IX:0000 IY:0000 Flags:00001010 [15 c2 ef]
==> 2df2:  JP NZ, 2defh        PC:2def AF:000a BC:470d DE:1800 HL:499a SP:f789 IX:0000 IY:0000 Flags:00001010 [c2 ef 2d]
==> 2def:  LD (BC), A          PC:2df0 AF:000a BC:470d DE:1800 HL:499a SP:f789 IX:0000 IY:0000 Flags:00001010 [02 03 15]
==> 2df0:  INC BC              PC:2df1 AF:000a BC:470e DE:1800 HL:499a SP:f789 IX:0000 IY:0000 Flags:00001010 [03 15 c2]
==> 2df1:  DEC D               PC:2df2 AF:0002 BC:470e DE:1700 HL:499a SP:f789 IX:0000 IY:0000 Flags:00000010 [15 c2 ef]
==> 2df2:  JP NZ, 2defh        PC:2def AF:0002 BC:470e DE:1700 HL:499a SP:f789 IX:0000 IY:0000 Flags:00000010 [c2 ef 2d]
==> 2def:  LD (BC), A          PC:2df0 AF:0002 BC:470e DE:1700 HL:499a SP:f789 IX:0000 IY:0000 Flags:00000010 [02 03 15]
==> 2df0:  INC BC              PC:2df1 AF:0002 BC:470f DE:1700 HL:499a SP:f789 IX:0000 IY:0000 Flags:00000010 [03 15 c2]
==> 2df1:  DEC D               PC:2df2 AF:0002 BC:470f DE:1600 HL:499a SP:f789 IX:0000 IY:0000 Flags:00000010 [15 c2 ef]
==> 2df2:  JP NZ, 2defh        PC:2def AF:0002 BC:470f DE:1600 HL:499a SP:f789 IX:0000 IY:0000 Flags:00000010 [c2 ef 2d]
==> 2def:  LD (BC), A          PC:2df0 AF:0002 BC:470f DE:1600 HL:499a SP:f789 IX:0000 IY:0000 Flags:00000010 [02 03 15]
