==> 4767:  JP Z, 47e0h         PC:47e0 AF:0344 BC:0004 DE:ff11 HL:0080 SP:4906 IX:0000 IY:0000 Flags:01000100 [ca e0 47]
==> 47e0:  LD HL, (09e0h)      PC:47e3 AF:0344 BC:0004 DE:ff11 HL:f800 SP:4906 IX:0000 IY:0000 Flags:01000100 [2a e0 09]
==> 47e3:  PUSH HL             PC:47e4 AF:0344 BC:0004 DE:ff11 HL:f800 SP:4904 IX:0000 IY:0000 Flags:01000100 [e5 11 9d]
==> 47e4:  LD DE, ff9dh        PC:47e7 AF:0344 BC:0004 DE:ff9d HL:f800 SP:4904 IX:0000 IY:0000 Flags:01000100 [11 9d ff]
==> 47e7:  POP HL              PC:47e8 AF:0344 BC:0004 DE:ff9d HL:f800 SP:4906 IX:0000 IY:0000 Flags:01000100 [e1 2b 22]
==> 47e8:  DEC HL              PC:47e9 AF:0344 BC:0004 DE:ff9d HL:f7ff SP:4906 IX:0000 IY:0000 Flags:01000100 [2b 22 e0]
==> 47e9:  LD (09e0h), HL      PC:47ec AF:0344 BC:0004 DE:ff9d HL:f7ff SP:4906 IX:0000 IY:0000 Flags:01000100 [22 e0 09]
==> 47ec:  ADD HL, DE          PC:47ed AF:0375 BC:0004 DE:ff9d HL:f79c SP:4906 IX:0000 IY:0000 Flags:01110101 [19 d2 e5]
==> 47ed:  JP NC, 0ae5h        PC:47f0 AF:0375 BC:0004 DE:ff9d HL:f79c SP:4906 IX:0000 IY:0000 Flags:01110101 [d2 e5 0a]
==> 47f0:  DEC HL              PC:47f1 AF:0375 BC:0004 DE:ff9d HL:f79b SP:4906 IX:0000 IY:0000 Flags:01110101 [2b e5 3a]
==> 47f1:  PUSH HL             PC:47f2 AF:0375 BC:0004 DE:ff9d HL:f79b SP:4904 IX:0000 IY:0000 Flags:01110101 [e5 3a 59]
==> 47f2:  LD A, (0759h)       PC:47f5 AF:0375 BC:0004 DE:ff9d HL:f79b SP:4904 IX:0000 IY:0000 Flags:01110101 [3a 59 07]
==> 47f5:  LD HL, 46ffh        PC:47f8 AF:0375 BC:0004 DE:ff9d HL:46ff SP:4904 IX:0000 IY:0000 Flags:01110101 [21 ff 46]
==> 47f8:  LD (0737h), HL      PC:47fb AF:0375 BC:0004 DE:ff9d HL:46ff SP:4904 IX:0000 IY:0000 Flags:01110101 [22 37 07]
==> 47fb:  LD DE, 0739h        PC:47fe AF:0375 BC:0004 DE:0739 HL:46ff SP:4904 IX:0000 IY:0000 Flags:01110101 [11 39 07]
==> 47fe:  LD (0759h), A       PC:4801 AF:0375 BC:0004 DE:0739 HL:46ff SP:4904 IX:0000 IY:0000 Flags:01110101 [32 59 07]
==> 4801:  INC A               PC:4802 AF:0401 BC:0004 DE:0739 HL:46ff SP:4904 IX:0000 IY:0000 Flags:00000001 [3c 01 a6]
==> 4802:  LD BC, 00a6h        PC:4805 AF:0401 BC:00a6 DE:0739 HL:46ff SP:4904 IX:0000 IY:0000 Flags:00000001 [01 a6 00]
==> 4805:  EX DE, HL           PC:4806 AF:0401 BC:00a6 DE:46ff HL:0739 SP:4904 IX:0000 IY:0000 Flags:00000001 [eb 73 23]
==> 4806:  LD (HL), E          PC:4807 AF:0401 BC:00a6 DE:46ff HL:0739 SP:4904 IX:0000 IY:0000 Flags:00000001 [73 23 72]
==> 4807:  INC HL              PC:4808 AF:0401 BC:00a6 DE:46ff HL:073a SP:4904 IX:0000 IY:0000 Flags:00000001 [23 72 23]
==> 4808:  LD (HL), D          PC:4809 AF:0401 BC:00a6 DE:46ff HL:073a SP:4904 IX:0000 IY:0000 Flags:00000001 [72 23 eb]
==> 4809:  INC HL              PC:480a AF:0401 BC:00a6 DE:46ff HL:073b SP:4904 IX:0000 IY:0000 Flags:00000001 [23 eb 09]
==> 480a:  EX DE, HL           PC:480b AF:0401 BC:00a6 DE:073b HL:46ff SP:4904 IX:0000 IY:0000 Flags:00000001 [eb 09 3d]
==> 480b:  ADD HL, BC          PC:480c AF:0400 BC:00a6 DE:073b HL:47a5 SP:4904 IX:0000 IY:0000 Flags:00000000 [09 3d c2]
==> 480c:  DEC A               PC:480d AF:0302 BC:00a6 DE:073b HL:47a5 SP:4904 IX:0000 IY:0000 Flags:00000010 [3d c2 05]
==> 480d:  JP NZ, 4805h        PC:4805 AF:0302 BC:00a6 DE:073b HL:47a5 SP:4904 IX:0000 IY:0000 Flags:00000010 [c2 05 48]
==> 4805:  EX DE, HL           PC:4806 AF:0302 BC:00a6 DE:47a5 HL:073b SP:4904 IX:0000 IY:0000 Flags:00000010 [eb 73 23]
==> 4806:  LD (HL), E          PC:4807 AF:0302 BC:00a6 DE:47a5 HL:073b SP:4904 IX:0000 IY:0000 Flags:00000010 [73 23 72]
==> 4807:  INC HL              PC:4808 AF:0302 BC:00a6 DE:47a5 HL:073c SP:4904 IX:0000 IY:0000 Flags:00000010 [23 72 23]
==> 4808:  LD (HL), D          PC:4809 AF:0302 BC:00a6 DE:47a5 HL:073c SP:4904 IX:0000 IY:0000 Flags:00000010 [72 23 eb]
==> 4809:  INC HL              PC:480a AF:0302 BC:00a6 DE:47a5 HL:073d SP:4904 IX:0000 IY:0000 Flags:00000010 [23 eb 09]
==> 480a:  EX DE, HL           PC:480b AF:0302 BC:00a6 DE:073d HL:47a5 SP:4904 IX:0000 IY:0000 Flags:00000010 [eb 09 3d]
==> 480b:  ADD HL, BC          PC:480c AF:0308 BC:00a6 DE:073d HL:484b SP:4904 IX:0000 IY:0000 Flags:00001000 [09 3d c2]
==> 480c:  DEC A               PC:480d AF:0202 BC:00a6 DE:073d HL:484b SP:4904 IX:0000 IY:0000 Flags:00000010 [3d c2 05]
==> 480d:  JP NZ, 4805h        PC:4805 AF:0202 BC:00a6 DE:073d HL:484b SP:4904 IX:0000 IY:0000 Flags:00000010 [c2 05 48]
==> 4805:  EX DE, HL           PC:4806 AF:0202 BC:00a6 DE:484b HL:073d SP:4904 IX:0000 IY:0000 Flags:00000010 [eb 73 23]
==> 4806:  LD (HL), E          PC:4807 AF:0202 BC:00a6 DE:484b HL:073d SP:4904 IX:0000 IY:0000 Flags:00000010 [73 23 72]
==> 4807:  INC HL              PC:4808 AF:0202 BC:00a6 DE:484b HL:073e SP:4904 IX:0000 IY:0000 Flags:00000010 [23 72 23]
==> 4808:  LD (HL), D          PC:4809 AF:0202 BC:00a6 DE:484b HL:073e SP:4904 IX:0000 IY:0000 Flags:00000010 [72 23 eb]
==> 4809:  INC HL              PC:480a AF:0202 BC:00a6 DE:484b HL:073f SP:4904 IX:0000 IY:0000 Flags:00000010 [23 eb 09]
==> 480a:  EX DE, HL           PC:480b AF:0202 BC:00a6 DE:073f HL:484b SP:4904 IX:0000 IY:0000 Flags:00000010 [eb 09 3d]
==> 480b:  ADD HL, BC          PC:480c AF:0208 BC:00a6 DE:073f HL:48f1 SP:4904 IX:0000 IY:0000 Flags:00001000 [09 3d c2]
